date,close_price,high_price,low_price,open_price,volume,daily_return,label
2025-06-25,6092.16015625,6108.509765625,6080.08984375,6104.22998046875,5171110000.0,,0
2025-06-26,6141.02001953125,6146.52001953125,6107.27001953125,6112.08984375,5308140000.0,0.008020121275230219,1
2025-06-27,6173.06982421875,6187.68017578125,6132.35009765625,6150.7001953125,7889350000.0,0.005218970885222163,1
2025-06-30,6204.9501953125,6215.080078125,6174.97021484375,6193.35986328125,5782900000.0,0.005164427424532603,1
2025-07-01,6198.009765625,6210.77978515625,6177.97021484375,6187.25,6275310000.0,-0.001118531087121899,-1
2025-07-02,6227.419921875,6227.60009765625,6188.2900390625,6193.8798828125,5645710000.0,0.004745096791088033,1
2025-07-03,6279.35009765625,6284.64990234375,6246.4599609375,6246.4599609375,3378110000.0,0.008338955206607324,1
2025-07-07,6229.97998046875,6262.06982421875,6201.0,6259.0400390625,5236740000.0,-0.007862297279128794,-1
2025-07-08,6225.52001953125,6242.7001953125,6217.75,6234.02978515625,5739030000.0,-0.0007158868810946961,-1
2025-07-09,6263.259765625,6269.16015625,6231.43017578125,6243.330078125,4813340000.0,0.0060621034026635545,1
2025-07-10,6280.4599609375,6290.22021484375,6251.43994140625,6266.7998046875,5367350000.0,0.0027462050044453346,1
2025-07-11,6259.75,6269.43994140625,6237.60009765625,6255.68017578125,4656210000.0,-0.0032975229626984737,-1
2025-07-14,6268.56005859375,6273.31005859375,6239.22021484375,6255.14990234375,4722250000.0,0.001407413809457303,1
2025-07-15,6243.759765625,6302.0400390625,6241.68017578125,6295.2900390625,5133670000.0,-0.003956298214731202,-1
2025-07-16,6263.7001953125,6268.1201171875,6201.58984375,6254.5,5177460000.0,0.003193657417327689,1
2025-07-17,6297.35986328125,6304.68994140625,6262.27001953125,6263.39990234375,5512290000.0,0.00537376740890938,1
2025-07-18,6296.7900390625,6315.60986328125,6285.27001953125,6312.9501953125,5184700000.0,-9.048620868445933e-05,-1
